# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)	Dind.region100 (J/m2)
1.166200008646002e-07	2.25527e-08	1.0191939e-08	0.89911735	797685.2	0.0032916819
1.1662501376771791e-07	-9.676276e-09	2.183987e-08	0.9022613	800006.4	0.0032917047
1.1663000105327413e-07	-2.1597204e-08	-5.8239653e-09	0.90285736	802315.75	0.0032916819
1.1663501399038883e-07	5.4903007e-09	-1.9898549e-08	0.90096265	804600.2	0.0032916125
1.1664000175182101e-07	1.9989548e-08	1.4559913e-09	0.8968452	806800.9	0.003291498
1.1664501504395639e-07	-9.099946e-10	1.8442556e-08	0.89152986	808905.3	0.0032913361
1.1665000262920447e-07	-1.3892584e-08	-1.4559913e-09	0.8858162	810858.8	0.0032911291
1.1665501555865577e-07	-6.6732935e-09	-1.067727e-08	0.88031703	812650.3	0.0032908756
1.1666000239855825e-07	4.9518873e-09	-1.2133261e-08	0.87604266	814233.9	0.0032905773
1.1666501478514888e-07	1.6804567e-08	0	0.87363863	815600.4	0.003290231
1.1667000160152703e-07	2.8058167e-09	2.2082535e-08	0.87323725	816714.56	0.003289841
1.1667501430924163e-07	-1.8943053e-08	7.2799566e-09	0.87508076	817570.2	0.0032894032
1.1668000165994616e-07	-1.2982589e-08	-2.135454e-08	0.87916976	818145.3	0.0032889224
1.1668501480746128e-07	2.1961203e-08	-1.5530574e-08	0.88481206	818436.4	0.003288393
1.1669000207674229e-07	1.6106904e-08	1.5773239e-08	0.8914552	818435.75	0.0032878208
1.1669501483263243e-07	-1.4711579e-08	1.1647931e-08	0.89848465	818143.8	0.0032872004
1.1670000164123957e-07	-7.522622e-09	-1.0191939e-08	0.90475094	817567.9	0.0032865377
1.1670501374720802e-07	6.0211307e-09	-4.8533044e-09	0.90950036	816711.5	0.0032858264
1.1671000023523107e-07	6.6429604e-09	9.706609e-10	0.91220003	815596.6	0.0032850737
1.1671501248738384e-07	5.186969e-09	8.250617e-09	0.9123328	814229.5	0.0032842723
1.1672002504483576e-07	-1.1283933e-08	5.338635e-09	0.90972626	812636.75	0.0032834257
1.1672501233664971e-07	-8.735948e-09	-1.5530574e-08	0.90493554	810853.2	0.0032825381
1.1673002554886439e-07	1.923122e-08	-7.2799566e-09	0.898289	808888.75	0.0032816015
1.1673501327325111e-07	5.308302e-09	1.4074582e-08	0.8904865	806794.44	0.0032806257
